Sample	posterior	likelihood	prior	Tree.t:seq87_RBD_masked.CFheight	Tree.t:seq87_RBD_masked.CFlength	Tree.t:seq87_RBD_masked.nConv	Tree.t:seq87_RBD_masked.nUselessConvs	Tree.t:seq87_RBD_masked.meanEdgeLength	Tree.t:seq87_RBD_masked.meanDepartureHeight	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanTractLength	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanRegionLength	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanStartSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanEndSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.randomStartSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.randomEndSite	rho.t:seq87_RBD_masked	delta.t:seq87_RBD_masked	popSize.t:seq87_RBD_masked	clockRate.c:seq87_RBD_masked	gammaShape.s:seq87_RBD_masked	freqParameter.s:seq87_RBD_masked.1	freqParameter.s:seq87_RBD_masked.2	freqParameter.s:seq87_RBD_masked.3	freqParameter.s:seq87_RBD_masked.4	kappa.s:seq87_RBD_masked	ClockPrior.c:seq87_RBD_masked	deltaPrior.t:seq87_RBD_masked	FrequenciesPrior.s:seq87_RBD_masked	GammaShapePrior.s:seq87_RBD_masked	KappaPrior.s:seq87_RBD_masked	rhoPrior.t:seq87_RBD_masked	popSizePrior.t:seq87_RBD_masked	monophyletic(all)	logP(mrca(all))	mrca.date(all)
0	-56876.073265363404	-56709.92754244851	-166.14572291489304	19.459831869441842	58.910093138885976	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001	200.0	1.0	0.001	1.0	0.25	0.25	0.25	0.25	2.0	6.923900661214511	-5.550961538632818	0.0	-1.0	-1.8653600339742873	-0.6689692629488189	-13.815510557964274	0	-9.615805480084347	2000.5401681305582
10000	-11612.685453534174	-10652.65221175709	-960.0332417770848	55.84919994317154	720.8733036086372	18	1	9.9330405142886	17.202106773681102	12.5	7.2727272727272725	438.72222222222223	450.22222222222223	645.0	539.0	3.83291934330493E-5	22.47356013030453	97.32924204956997	0.00461266720942847	0.4096484916175766	0.2485625743203064	0.25298998468601835	0.22730556191214368	0.2711418790815316	2.7898940541802655	-74.41464344005338	-16.114723466067232	0.0	-0.4096484916175766	-2.168302086488345	-4.369621637802149	-13.815510557964274	0	-9.615805480084347	1964.1508000568285
20000	-10634.967455470516	-9763.10392417359	-871.8635312969255	123.78916610279882	1641.7252464467012	12	0	7.49332360090045	25.978734088975056	186.41666666666666	35.0	331.0833333333333	516.5	468.0	23.0	1.0655723337535033E-5	252.79606491395208	179.3267388688777	0.0024793259777509385	0.4092884240381347	0.2534362905162401	0.24425018069434454	0.2194581997932611	0.2828553289961543	3.081255192865862	-8.850036998003178	-4.841340874777617	0.0	-0.4092884240381347	-2.272446128518868	-6.548811453086838	-13.815510557964274	0	-9.615805480084347	1896.2108338972012
30000	-10783.138021741655	-9751.831792619876	-1031.3062291217796	202.38576632989336	1961.4998070726813	19	0	16.5520126286506	42.33705223448628	130.21052631578948	22.96875	367.1578947368421	496.36842105263156	678.0	167.0	1.0671764943662628E-5	224.12079004608654	232.4526334174443	0.0021476626795434066	0.34082140453002874	0.2476209499427206	0.24230706388564624	0.20861402593721665	0.30145796023441657	3.081255192865862	-3.198883811095776	-5.088425080016219	0.0	-0.34082140453002874	-2.272446128518868	-6.546010172809282	-13.815510557964274	0	-9.615805480084347	1817.6142336701066
40000	-10234.247501117412	-9375.035700250428	-859.2118008669846	177.52574006293403	2193.0305204396577	11	0	37.70344023587089	55.81269852505573	207.72727272727272	43.23529411764706	322.0	528.7272727272727	287.0	734.0	6.698389155857546E-6	318.14781781371846	293.0979177000052	0.0017357675763090222	0.3439645865401632	0.25693528938568116	0.24230706388564624	0.19202046268065381	0.3087371840480188	3.321730390944023	2.1178358838610514	-5.507195281932297	0.0	-0.3439645865401632	-2.3554301979989454	-7.440310821493476	-13.815510557964274	0	-9.615805480084347	1842.4742599370659
50000	-10733.949249380825	-9667.646856003848	-1066.3023933769764	291.04081495978005	3225.768348869394	20	1	40.7996103167585	60.81321623481489	172.6	30.625	239.95	411.55	0.0	734.0	6.696045693225581E-6	287.75288010540135	373.38702587311536	0.00145334709915486	0.3439645865401632	0.2594744819127703	0.23078039561170677	0.19034676744424686	0.3193983550312761	3.328592060031123	4.67392112821304	-4.985006009461775	0.0	-0.3439645865401632	-2.3577598985986024	-7.441003114333089	-13.815510557964274	0	-9.615805480084347	1728.9591850402198
60000	-10391.597593807634	-9285.679623534004	-1105.9179702736287	486.0737787120686	4340.563849669968	19	1	78.08491448507934	85.21440918557032	191.8421052631579	26.25	196.52631578947367	387.36842105263156	718.0	734.0	5.884615518300372E-6	243.2452009939658	494.40837425718723	0.00127605270697604	0.3457473011343104	0.2516579851270055	0.22079230838361202	0.19034676744424686	0.3372029390451357	3.795977179409913	5.825743505113084	-4.88710619657934	0.0	-0.3457473011343104	-2.5117094484970526	-7.698662986060123	-13.815510557964274	0	-9.615805480084347	1533.9262212879314
70000	-10300.93159894533	-9184.644223624615	-1116.2873753207143	521.139956570312	4541.088290107045	19	0	60.954655312709676	80.45503319122389	209.73684210526315	25.344827586206897	213.21052631578948	421.94736842105266	378.0	439.0	6.131233867466182E-6	234.9801854604283	509.5738073631401	0.0011555612331371535	0.3269626622278068	0.26269137959152294	0.21442876732389488	0.18690765074383156	0.3359722023407507	4.187781297948753	6.40919932879507	-4.9561597625517315	0.0	-0.3269626622278068	-2.634020141986908	-7.616321363403623	-13.815510557964274	0	-9.615805480084347	1498.860043429688
80000	-10313.884793165764	-9219.051182679012	-1094.8336104867526	416.7831290535352	4804.629248414671	18	1	66.68606502887383	82.2188894946888	203.5	30.625	252.55555555555554	455.05555555555554	0.0	62.0	3.4053876241608164E-6	265.9993258987625	604.3039358879136	0.0010163026530052564	0.26784886731281826	0.27450102650709013	0.21207135256703535	0.17789226184698279	0.3355353590788919	4.187781297948753	6.88257319556272	-4.838159920880731	0.0	-0.26784886731281826	-2.634020141986908	-8.835930470324548	-13.815510557964274	0	-9.615805480084347	1603.2168709464647
90000	-10238.133256654837	-9122.087619052718	-1116.0456376021189	722.3123902962412	5519.759280610763	18	0	90.06544713548465	117.11139550701854	221.33333333333334	27.22222222222222	250.11111111111111	470.44444444444446	163.0	178.0	4.329931374001577E-6	339.586289313729	675.3184985118179	0.0011175592106350849	0.28272485441014084	0.2728044177848128	0.21111600390090565	0.16678850453013205	0.3492910737841497	4.4847877817350135	6.559754990744613	-6.097757027978535	0.0	-0.28272485441014084	-2.72299459110022	-8.327318519718391	-13.815510557964274	0	-9.615805480084347	1297.6876097037589
100000	-10223.205302681212	-9078.044099394112	-1145.1612032870994	667.8819357555572	5763.406263915325	19	0	43.08284596265986	96.90147994667018	239.89473684210526	24.5	235.05263157894737	473.94736842105266	95.0	34.0	4.908534721009214E-6	251.09743450639718	669.0486177125015	0.0010057064860888123	0.28272485441014084	0.28297397001747243	0.2126428247159665	0.15935240369336026	0.345030801573201	4.4847877817350135	6.909770561978071	-4.846812673106396	0.0	-0.28272485441014084	-2.72299459110022	-8.067464003139625	-13.815510557964274	0	-9.615805480084347	1352.1180642444428
110000	-10730.829536995312	-9541.153043837869	-1189.676493157443	844.829819202348	6876.345835249315	20	0	93.82993559805294	124.74583110503991	237.05	24.5	221.9	457.95	68.0	72.0	3.4193118546153072E-6	268.91825349888387	725.1946730705123	8.229661286610183E-4	0.33972317653837714	0.2960774048224699	0.21310796011812963	0.14360935837139424	0.34720527668800627	4.133045171604673	7.1825335044805385	-4.846868587726889	0.0	-0.33972317653837714	-2.6172799484762495	-8.827169422456087	-13.815510557964274	0	-9.615805480084347	1175.170180797652
120000	-10485.340787167694	-9371.445052129322	-1113.895735038372	728.7374307418623	7705.548800581068	16	0	101.03260772770244	97.8229808242968	140.9375	29.4	326.6875	466.625	43.0	734.0	2.3160131671014563E-6	234.92678991070272	917.3983547516871	6.854888724737697E-4	0.2798581084335575	0.28291950389415244	0.19162989031592673	0.14949614820366736	0.3759544575862535	4.133045171604673	7.143165365512959	-4.956694711469226	0.0	-0.2798581084335575	-2.6172799484762495	-9.682408690122205	-13.815510557964274	0	-9.615805480084347	1291.2625692581378
130000	-10587.07989590415	-9378.300178876263	-1208.7797170278861	895.6390919833162	9699.101102380546	19	0	104.523596513751	149.54344108029176	206.0	26.25	240.47368421052633	445.4736842105263	381.0	425.0	1.45170862410245E-6	290.00687866490165	1063.9511424045209	6.431160508330721E-4	0.359456935751672	0.2830536923137488	0.20094011129296604	0.14044787540381856	0.3755583209894666	4.429638938998403	7.0886939082171	-5.011044092074845	0.0	-0.359456935751672	-2.7067056158647693	-10.757829021580239	-13.815510557964274	0	-9.615805480084347	1124.3609080166839
140000	-10444.411077121038	-9219.79177769109	-1224.6192994299477	976.3582805646937	10156.713689350368	19	0	108.61224286394047	98.06128840400442	160.05263157894737	24.5	269.94736842105266	429.0	402.0	510.0	1.952228836648967E-6	279.3432630440322	1035.9573348490912	6.087199844536836E-4	0.331312351651057	0.288031999399667	0.19839937156069737	0.14522400541087027	0.36834462362876536	4.161313804596289	7.029807084961476	-4.905793903670943	0.0	-0.331312351651057	-2.625939137488987	-10.069488892317597	-13.815510557964274	0	-9.615805480084347	1043.6417194353062
