Sample	posterior	likelihood	prior	Tree.t:seq87_RBD_masked.CFheight	Tree.t:seq87_RBD_masked.CFlength	Tree.t:seq87_RBD_masked.nConv	Tree.t:seq87_RBD_masked.nUselessConvs	Tree.t:seq87_RBD_masked.meanEdgeLength	Tree.t:seq87_RBD_masked.meanDepartureHeight	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanTractLength	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanRegionLength	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanStartSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanEndSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.randomStartSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.randomEndSite	rho.t:seq87_RBD_masked	delta.t:seq87_RBD_masked	popSize.t:seq87_RBD_masked	clockRate.c:seq87_RBD_masked	gammaShape.s:seq87_RBD_masked	freqParameter.s:seq87_RBD_masked.1	freqParameter.s:seq87_RBD_masked.2	freqParameter.s:seq87_RBD_masked.3	freqParameter.s:seq87_RBD_masked.4	kappa.s:seq87_RBD_masked	ClockPrior.c:seq87_RBD_masked	deltaPrior.t:seq87_RBD_masked	FrequenciesPrior.s:seq87_RBD_masked	GammaShapePrior.s:seq87_RBD_masked	KappaPrior.s:seq87_RBD_masked	rhoPrior.t:seq87_RBD_masked	popSizePrior.t:seq87_RBD_masked	monophyletic(all)	logP(mrca(all))	mrca.date(all)
0	-55582.33149390614	-55438.42773268004	-143.9037612260983	18.437781709786123	48.38202034482208	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001	200.0	1.0	0.001	1.0	0.25	0.25	0.25	0.25	2.0	6.923900661214511	-5.550961538632818	0.0	-1.0	-1.8653600339742873	-0.6689692629488189	-13.815510557964274	0	-9.615805480084347	2001.5622182902139
10000	-12181.321646810375	-11166.888487528262	-1014.4331592821126	52.02894747420973	686.2910114612267	20	0	12.02084831962339	15.92739168479074	77.9	19.228571428571428	358.7	435.6	510.0	427.0	5.101291683897012E-5	77.14468614719547	90.41389768543247	0.004757406166406905	0.3928909245696994	0.24834781442986276	0.24665631941346697	0.23789223444850655	0.2671036317081637	2.772601549593961	-80.69476496418368	-11.518174699474347	0.0	-0.3928909245696994	-2.16199342783984	-3.938936705893912	-13.815510557964274	0	-9.615805480084347	1967.9710525257904
20000	-10396.927461222836	-9486.10452896815	-910.8229322546871	126.24975269575509	1224.1848396701978	16	0	15.338643898743547	30.91143875258915	145.75	28.26923076923077	266.6875	411.4375	290.0	734.0	1.0181393076840736E-5	270.9695515097814	135.70868816091885	0.002974133281005395	0.3355879573633837	0.25754275330028403	0.2399312127271869	0.23251640499861748	0.2700096289739116	3.5497830076296424	-19.552881865538275	-4.855027750697968	0.0	-0.3355879573633837	-2.431761646841731	-6.633873485155277	-13.815510557964274	0	-9.615805480084347	1893.750247304245
30000	-10632.140395334702	-9713.560708754894	-918.5796865798073	129.54891734942402	1417.6073530270287	16	0	15.094143471628323	40.00939718778654	146.875	27.22222222222222	250.1875	396.0625	0.0	734.0	1.581610817245446E-5	197.9458418772519	137.99129518810693	0.0024241555990708596	0.3211520554272107	0.25798474325877524	0.2169110714894938	0.20833678739372521	0.3167673978580058	3.7120597874111154	-7.825252860763589	-5.601105246697424	0.0	-0.3211520554272107	-2.4847366568869043	-5.832805129246555	-13.815510557964274	0	-9.615805480084347	1890.451082650576
40000	-10294.53559104032	-9339.558395949467	-954.977195090852	189.45121751208222	1905.7971504501338	16	0	13.462687873150518	31.348453429760742	99.5	26.884615384615383	174.4375	272.9375	397.0	31.0	1.6134175639649812E-5	169.45093609510073	217.96639144324513	0.002467306731847035	0.3211520554272107	0.2666175270000717	0.2134159855817774	0.19412003414189583	0.3258464532762551	3.7120597874111154	-8.62389937954284	-6.470788133443525	0.0	-0.3211520554272107	-2.4847366568869043	-5.7977395679009565	-13.815510557964274	0	-9.615805480084347	1830.5487824879178
50000	-10218.898165759567	-9255.76429427153	-963.133871488037	215.4426956428594	2302.4768471063244	16	0	13.60375744347332	37.18070009623162	192.8125	30.625	260.6875	452.5	31.0	734.0	4.553668363322584E-6	221.3764713582533	261.0514390170587	0.0017890058464195408	0.29256682471826934	0.26436711873449414	0.2134159855817774	0.16529605833789704	0.3569208373458314	3.920585422029508	1.5367184494988795	-5.129316931580784	0.0	-0.29256682471826934	-2.5512454564367624	-8.222465024358062	-13.815510557964274	0	-9.615805480084347	1804.5573043571405
60000	-10378.983500603235	-9314.759740174448	-1064.2237604287873	490.12084762580395	3309.26082314077	19	0	17.382768435225433	56.791659556854725	161.8421052631579	22.96875	228.3684210526316	389.2105263157895	171.0	522.0	8.438381889796824E-6	189.39150882587498	241.65883983905394	0.001962921407152738	0.29256682471826934	0.26436711873449414	0.21274300519517675	0.1554496361654155	0.3674402399049136	4.284247284519797	-0.581116313786679	-5.828073343810117	0.0	-0.29256682471826934	-2.6632589064515275	-6.990114854870367	-13.815510557964274	0	-9.615805480084347	1529.879152374196
70000	-10345.725456985632	-9302.798491676494	-1042.9269653091376	500.9757274431306	3561.0103530506585	18	0	78.52523618603227	108.10673796250651	163.66666666666666	27.22222222222222	204.94444444444446	367.6111111111111	374.0	734.0	7.588199299718298E-6	172.8968231020598	349.88411269707956	0.0016803528847877153	0.3345913607869888	0.26991958312455266	0.204519116302449	0.1599836274554123	0.365577673117586	4.284247284519797	2.689260010405839	-6.3483542237755906	0.0	-0.3345913607869888	-2.6632589064515275	-7.195493634617296	-13.815510557964274	0	-9.615805480084347	1519.0242725568694
80000	-10449.05107304619	-9394.068222996328	-1054.9828500498634	553.3544420623729	4111.578230414702	17	0	30.750102062248462	53.5929182563263	80.52941176470588	25.346153846153847	243.1764705882353	322.70588235294116	650.0	734.0	9.32712923785221E-6	123.62585456115178	421.7611040157411	0.0012614519650707883	0.30795306994860083	0.275615367703707	0.21155825573563067	0.13883257111243802	0.3739938054482243	4.78811088735015	5.905034024156047	-8.550543047468043	0.0	-0.30795306994860083	-2.810781202680012	-6.79903765861558	-13.815510557964274	0	-9.615805480084347	1466.645557937627
90000	-10368.504379857533	-9278.383978473916	-1090.120401383617	444.9394969067444	4563.018122207728	18	1	60.88903539069713	96.793975173996	232.83333333333334	29.4	264.6111111111111	496.44444444444446	30.0	734.0	3.5172135645005232E-6	345.54286667721846	575.1312459033575	0.0011879344548960734	0.3423780800780885	0.2860645955133832	0.19637491102885293	0.13873782138042146	0.3788226720773423	3.970153844994614	6.268286664040309	-6.294477946504093	0.0	-0.3423780800780885	-2.5668047259482045	-8.766673348341499	-13.815510557964274	0	-9.615805480084347	1575.0605030932556
