Sample	posterior	likelihood	prior	Tree.t:seq87_RBD_masked.CFheight	Tree.t:seq87_RBD_masked.CFlength	Tree.t:seq87_RBD_masked.nConv	Tree.t:seq87_RBD_masked.nUselessConvs	Tree.t:seq87_RBD_masked.meanEdgeLength	Tree.t:seq87_RBD_masked.meanDepartureHeight	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanTractLength	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanRegionLength	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanStartSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanEndSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.randomStartSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.randomEndSite	rho.t:seq87_RBD_masked	delta.t:seq87_RBD_masked	popSize.t:seq87_RBD_masked	clockRate.c:seq87_RBD_masked	gammaShape.s:seq87_RBD_masked	freqParameter.s:seq87_RBD_masked.1	freqParameter.s:seq87_RBD_masked.2	freqParameter.s:seq87_RBD_masked.3	freqParameter.s:seq87_RBD_masked.4	kappa.s:seq87_RBD_masked	ClockPrior.c:seq87_RBD_masked	deltaPrior.t:seq87_RBD_masked	FrequenciesPrior.s:seq87_RBD_masked	GammaShapePrior.s:seq87_RBD_masked	KappaPrior.s:seq87_RBD_masked	rhoPrior.t:seq87_RBD_masked	popSizePrior.t:seq87_RBD_masked	monophyletic(all)	logP(mrca(all))	mrca.date(all)
100000	-10562.227613815287	-9423.3238352121	-1138.9037786031854	1080.0454383906872	7947.279320955976	18	0	169.87446304791118	223.77660330770357	245.88888888888889	28.26923076923077	234.88888888888889	479.77777777777777	373.0	593.0	3.4122932742261327E-6	272.31967307888783	693.5668594888017	9.50883145141048E-4	0.3387481799462768	0.30824050651033486	0.19681766286899202	0.14750307963242182	0.3474387509882513	5.173404161989969	7.0305614984739755	-4.861316407586953	0.0	-0.3387481799462768	-2.9181352548225874	-8.831580485156602	-13.815510557964274	0	-9.615805480084347	939.9545616093128
110000	-10827.936949909486	-9646.4353559417	-1181.5015939677876	1165.211468597957	9082.4730767745	19	1	116.95524531481635	154.35079491076954	216.78947368421052	29.4	216.3684210526316	432.1578947368421	692.0	595.0	3.839899564203151E-6	285.72414487938937	923.8938937313177	8.462193982748857E-4	0.29463269975053846	0.31511897033784325	0.18465441695394028	0.14623766826399348	0.35398894444422296	4.483359272156441	7.1684283906151345	-4.963307864587981	0.0	-0.29463269975053846	-2.722573964871252	-8.579840703795398	-13.815510557964274	0	-9.615805480084347	854.788531402043
120000	-10588.297506434164	-9448.322378002526	-1139.9751284316387	821.469219706701	9159.992862696596	17	1	142.59266150106828	233.68119395718546	219.8235294117647	33.40909090909091	277.94117647058823	496.7647058823529	0.0	688.0	2.6452298259974603E-6	294.4411403743987	1053.0305825534385	6.057705425970752E-4	0.2770709348697885	0.32157596476785466	0.19017812914021506	0.13464366671668682	0.35360223937524343	4.194121019305845	7.024145639953859	-5.068199968690625	0.0	-0.2770709348697885	-2.6359519927114183	-9.386376340826635	-13.815510557964274	0	-9.615805480084347	1198.530780293299
130000	-11020.471969465601	-9800.616356674915	-1219.855612790687	1336.6337846737397	10598.821805164564	19	0	175.4612946166171	266.64162268134635	158.1578947368421	24.5	271.8421052631579	429.0	0.0	721.0	2.5122350960679864E-6	252.49615334730262	1073.5757458490425	6.341253778696772E-4	0.3183052805912667	0.314832751513577	0.19244736821778152	0.13486359953757418	0.35785628073106723	4.3255071690868725	7.074570631316376	-4.842223081550258	0.0	-0.3183052805912667	-2.6756635022817257	-9.500747605702523	-13.815510557964274	0	-9.615805480084347	683.3662153262603
140000	-10413.244872824514	-9215.522050089932	-1197.722822734583	1661.089063746874	11923.224327868647	17	0	260.51020341234846	201.2289658833267	122.76470588235294	25.344827586206897	254.1764705882353	375.94117647058823	616.0	288.0	2.3531268486109695E-6	219.26488910845322	1491.2332579917672	4.427758579270171E-4	0.3183052805912667	0.29754793363560994	0.1944733921619441	0.14218820435159088	0.365790469850855	4.116392423808003	6.561011094565293	-5.1628313905021415	0.0	-0.3183052805912667	-2.612165171406362	-9.646767010926094	-13.815510557964274	0	-9.615805480084347	358.910936253126
150000	-10440.333481909598	-9146.005881128463	-1294.3276007811337	1185.7508020530036	11667.428552410689	20	0	397.4889573163542	281.20892638075867	149.3	21.0	249.25	397.55	63.0	488.0	2.790821103359326E-6	183.98257357208306	1697.3533221413632	4.559931940752464E-4	0.3322458327857502	0.2865627314631967	0.19345627455085526	0.13731632416457373	0.38266466982137426	4.355615448708932	6.60956504851695	-5.986691362777572	0.0	-0.3322458327857502	-2.684677641358513	-9.268291103664158	-13.815510557964274	0	-9.615805480084347	834.2491979469964
160000	-10530.161230043655	-9219.076544883874	-1311.0846851597819	1688.9653290642166	15068.198224553176	20	0	273.3525760044557	226.3433258631534	110.7	21.61764705882353	271.55	381.25	60.0	571.0	1.6207202524693373E-6	186.57615967096228	1691.9760956611954	3.775390411034975E-4	0.3211021136773394	0.28534492494116853	0.20849900674994157	0.13251397771225445	0.37364209059663545	4.355615448708932	6.292929419903999	-5.909173604365623	0.0	-0.3211021136773394	-2.684677641358513	-10.4993633348511	-13.815510557964274	0	-9.615805480084347	331.0346709357834
170000	-11190.569910218159	-9881.210762396278	-1309.3591478218812	1607.610945248232	18769.810031673005	19	1	279.40168991427964	174.66005025312666	165.26315789473685	27.22222222222222	307.5263157894737	471.7894736842105	0.0	734.0	1.4883846538643532E-6	234.24036916802947	2264.5788394967103	2.8673345556861214E-4	0.3299294842733338	0.30223383474122106	0.20849900674994157	0.13213114250211594	0.35713601600672146	4.355615448708932	5.841056862018498	-4.9636732547527	0.0	-0.3299294842733338	-2.684677641358513	-10.699007117836432	-13.815510557964274	0	-9.615805480084347	412.3890547517681
180000	-10400.541392962155	-9182.736565140167	-1217.804827821989	1953.6878970022308	17611.749366309727	16	0	210.07333334674212	245.39814588783477	130.5	27.375	262.875	392.375	275.0	734.0	1.144053428365903E-6	244.29569630504537	2557.651995094807	3.000359594169723E-4	0.3299294842733338	0.31420157754420935	0.1785833172545725	0.13172439408034134	0.3754907111208768	4.355615448708932	5.91298132647681	-4.880286569541492	0.0	-0.3299294842733338	-2.684677641358513	-11.327150433446118	-13.815510557964274	0	-9.615805480084347	66.31210299776922
190000	-10441.868426413484	-9171.052313757475	-1270.8161126560094	1799.312432549134	17482.194666897245	18	0	207.40534560975726	374.6600212760704	123.61111111111111	25.785714285714285	279.94444444444446	402.55555555555554	378.0	387.0	1.3386640551288768E-6	188.52749453385326	2229.519923340263	3.0736649543620324E-4	0.3333876940168593	0.29693712792281285	0.1818264940901696	0.1278767429984349	0.3933596349885826	4.928912420377371	5.951776052124197	-5.852625346154493	0.0	-0.3333876940168593	-2.8505335195672874	-10.950029745288756	-13.815510557964274	0	-9.615805480084347	220.68756745086603
